text,label
"Please analyze the sales data for the past quarter and provide insights on the trends.",analysis
"I need you to analyze the customer feedback from the survey and identify common themes.",analysis
"Could you analyze the financial statements and highlight any areas of concern?",analysis
"Analyzing the market trends for our new product launch is crucial. Please provide a detailed report.",analysis
"I want you to analyze the performance metrics of our advertising campaigns and suggest optimizations.",analysis
"Can you analyze the inventory data to optimize our supply chain management?",analysis
"Analyzing the user engagement metrics of our website is necessary. Please generate a comprehensive report.",analysis
"I need you to analyze the data from the employee satisfaction survey and identify areas for improvement.",analysis
"Please analyze the data from the customer support tickets to identify recurring issues.",analysis
"Analyzing the feedback from beta testers will help us improve our product. Please start the analysis.",analysis
"What is the data about?",analysis
"Can you provide key insights from the data/document?",analysis
"Are there tables in the data?",analysis
"Give detailed report",analysis
"Provide a summary with key findings",analysis
"How many tables are there in the data/pdf?",analysis
"Extract all tables from the data.",analysis
"Extract structured data from the given unstructured data.",analysis
"How does this data talk about ML research at MIT?",analysis
"do not make up data, analyze the words in the context seperately",analysis
"find the areas where there are bullet points in the image/picture",vision
"find the areas where there are picture in the picture/image",vision
"Identify trends and patterns in the data.",analysis
"Analyze the data set provided and generate...",analysis
"is there any table in the pdf?",analysis
"Analyze the data for anomalies or irregularities.",analysis
"Generate statistical summaries for the data.",analysis
"Explore correlations between different variables in the data.",analysis
"what does the pdf talk about? does it have tables?",analysis
"Provide recommendations based on the analysis of the data.",analysis
"Summarize the findings from the data analysis report.",analysis
"Visualize the data for easier interpretation.",analysis
"can you search for the word "ML" in the document and list it's occurences and context?",analysis
"do you have the reference of the word ML in the document.",analysis
"From the given pdf extract the necessary data",analysis
"Find related data from the document given",analysis
"Perform sentiment analysis on textual data.",analysis
"what does the table show?",analysis
"what does the table show in the image?",vision
"Cluster similar data points together for further analysis.",analysis
"Apply machine learning algorithms to predict future trends.",analysis
"Identify outliers in the data and investigate their causes.",analysis
"Examine the data for any missing or incomplete values.",analysis
"Can you perform text mining on the data to extract useful information?",analysis
"Analyze the distribution of data across different categories.",analysis
"Explore the geographical patterns in the data.",analysis
"Detect any seasonality or periodicity in the data.",analysis
"Identify potential opportunities or risks based on the data analysis.",analysis
"Examine the data for any biases or prejudices.",analysis
"Conduct regression analysis to understand the relationship between variables.",analysis
"Cluster similar data points to identify distinct groups or segments.",analysis
"Perform time series analysis to forecast future trends.",analysis
"Apply natural language processing techniques to analyze textual data.",analysis
"Visualize the data using various charts, graphs, and plots.",analysis
"Analyze the data to understand user behavior or preferences.",analysis
"Identify any outliers or anomalies that require further investigation.",analysis
"Assess the reliability and accuracy of the data sources.",analysis
"Perform network analysis to understand connections between entities.",analysis
"Evaluate the performance of different machine learning models on the data.",analysis
"Conduct A/B testing to compare different strategies or interventions.",analysis
"Examine the impact of external factors on the data trends.",analysis
"Analyze the sentiment of customer reviews or social media posts.",analysis
"Identify any patterns or trends that could be indicative of fraud.",analysis
"Can you extract trends in consumer spending from the sales data?",analysis
"Provide a brief summary of the demographic trends in the population data.",analysis
"Help me understand the key patterns in the stock market data.",analysis
"Extract trends in climate change from the environmental data.",analysis
"Give a summary of the main findings in the healthcare data analysis.",analysis
"What are the emerging trends in the technology sector based on the industry reports?",analysis
"Provide insights into the trends in educational attainment from the academic data.",analysis
"Can you summarize the main drivers of economic growth from the GDP data?",analysis
"Help me understand the trends in crime rates from the law enforcement data.",analysis
"Extract key patterns in customer behavior from the marketing data.",analysis
"What are the main trends in user engagement based on the social media analytics?",analysis
"Give a summary of the trends in energy consumption from the utility data.",analysis
"Help me understand the patterns in website traffic from the web analytics data.",analysis
"Can you extract trends in patient outcomes from the healthcare records?",analysis
"Provide insights into the trends in housing prices from the real estate data.",analysis
"What are the main trends in agricultural production based on the farming data?",analysis
"Give a summary of the trends in air travel from the transportation data.",analysis
"I uploaded a pdf",analysis
"Explain in over 10000 words the document which i provided",analysis
"what is the pdf about",analysis
"what does this pdf talk about",analysis
"Can you find the trends in given data",analysis
"What is present in the given pdf",analysis
"i have pdf data. Analyze what it talks about and find similar articles over the internet that talks about the same topic.",search
"Help me understand the patterns in customer satisfaction from the survey data.",analysis
"Extract key trends in project management from the business performance data.",analysis
"What are the emerging trends in talent acquisition based on the HR analytics?",analysis
"Can you analyze the text in the image to extract key points?",vision
"Identify and extract relevant features from the image data.",vision
"Perform object detection to recognize specific items in the image.",vision
"Generate a summary of the information presented in the image.",vision
"Analyze the layout and structure of the image to understand its organization.",vision
"Extract tabular data from images containing relational data.",vision
"Perform optical character recognition (OCR) to convert text in the image into editable text.",vision
"Identify any logos or trademarks present in the image.",vision
"use vision to analyze the image given to you",vision
"use analyzer to analyze the data given",analysis
"use agent to extract data from the web similar to the given pdf file and analyze that data",search
"Analyze the colors and patterns in the image to derive insights.",vision
"Detect any anomalies or irregularities in the image/picture data.",vision
"Segment the image/picture into different regions for further analysis.",vision
"Extract numerical data from charts or graphs in the image/picture.",vision
"Identify faces and perform facial recognition in the image/picture.",vision
"Analyze the spatial relationships between objects in the image/picture.",vision
"Generate descriptive metadata for the image/picture based on its content.",vision
"Perform image/picture classification to categorize the image/picture into predefined classes.",vision
"Extract handwritten text from image/pictures containing handwritten notes or documents.",vision
"Analyze the quality and resolution of the image for potential enhancements.",vision
"Identify any sensitive information present in the image for privacy protection.",vision
"Analyze the sentiment or emotions conveyed by people in the image.",vision
"Can you analyze the visual content to extract key insights?",vision
"Identify and extract features from the visual data for analysis.",vision
"Perform object detection to recognize elements within the visual content.",vision
"Generate a summary of the visual information presented.",vision
"Analyze the layout and structure of the visual data for organization.",vision
"analyze the image given to you",vision
"what is present in the image",vision
"Extract tabular data from visual representations of relational data.",vision
"Perform optical character recognition (OCR) on textual elements within the visual content.",vision
"Identify any visual elements such as logos or trademarks.",vision
"Analyze the colors, shapes, and patterns within the visual data.",vision
"Detect anomalies or irregularities within the visual representation.",vision
"Segment the visual data into distinct regions for further analysis.",vision
"Extract numerical data from visualizations such as charts or graphs.",vision
"Identify and recognize faces within the visual content.",vision
"Analyze the spatial relationships between objects within the visual data.",vision
"Generate descriptive metadata based on the visual content.",vision
"Perform visual classification to categorize the content into predefined classes.",vision
"Extract handwritten text from visual representations containing handwritten elements.",vision
"Analyze the quality and resolution of the visual data for improvements.",vision
"Identify sensitive information within the visual content for privacy considerations.",vision
"Analyze the sentiment or emotions conveyed by the visual elements.",vision
"Is there any structured data present in the provided data?",vision
"Is there any structured data present in the data?",vision
"Is there any structured data present in the content?",vision
"Can you identify any structured information in the provided data?",vision
"Can you identify any structured information in the data?",vision
"Can you identify any structured information in the content?",vision
"Are there any patterns or structures discernible in the provided data?",vision
"Are there any patterns or structures discernible in the data?",vision
"Are there any patterns or structures discernible in the content?",vision
"Can you recognize any familiar elements within the provided data?",vision
"Can you recognize any familiar elements within the data?",vision
"Can you recognize any familiar elements within the content?",vision
"Does the provided data contain any organized information?",vision
"Does the data contain any organized information?",vision
"Does the content contain any organized information?",vision
"Can you discern any data tables within the provided data?",vision
"Can you discern any data tables within the data?",vision
"Can you discern any data tables within the content?",vision
"Identify any tabular structures within the provided data.",vision
"Identify any tabular structures within the data.",vision
"Identify any tabular structures within the content.",vision
"What are the best practices for SEO optimization?",search
"How can I improve my website's visibility on search engines?",search
"What are some effective strategies for keyword research?",search
"Where can I find reliable sources for market research data?",search
"What are the latest trends in digital marketing?",search
"Where can I find tutorials on machine learning algorithms?",search
"What are the top programming languages for web development?",search
"How do I troubleshoot common computer issues?",search
"Where can I find reputable online courses for graphic design?",search
"What are the most popular social media platforms for businesses?",search
"Where can I read reviews for the latest smartphones?",search
"How do I create a budget for personal finance management?",search
"Where can I find templates for business proposals?",search
"What are some strategies for effective time management?",search
"How do I improve my presentation skills?",search
"Where can I find free resources for learning Spanish?",search
"What are the best practices for remote team collaboration?",search
"How do I start a blog and attract more readers?",search
"Where can I find templates for resume writing?",search
"What are the health benefits of practicing yoga?",search
"How do I choose the right workout routine for weight loss?",search
"Where can I find healthy recipes for meal planning?",search
"What are the latest fashion trends for spring/summer?",search
"How do I improve my photography skills?",search
"Where can I find tips for traveling on a budget?",search
"What are some must-visit destinations for solo travelers?",search
"How do I negotiate a salary during a job interview?",search
"Where can I find reviews for popular books and movies?",search
"What are the best practices for creating engaging social media content?",search
"Where can I find resources for learning meditation techniques?",search
"How do I tie a tie?",search
"What is the capital of France?",search
"Who is the author of 'To Kill a Mockingbird'?",search
"What is the weather forecast for New York tomorrow?",search
"How many ounces are in a pound?",search
"What is the population of Tokyo?",search
"Where can I buy tickets for a concert near me?",search
"How do I cook spaghetti al dente?",search
"What are the symptoms of COVID-19?",search
"Where is the nearest coffee shop?",search
"What time does the supermarket close today?",search
"How do I reset my password?",search
"What is the distance between Earth and Mars?",search
"Where can I find the lyrics to 'Bohemian Rhapsody'?",search
"How do I change a flat tire?",search
"What are the health benefits of green tea?",search
"Where can I find the best pizza in town?",search
"How do I plant tomatoes in my garden?",search
"What are the top tourist attractions in London?",search
"Where can I watch the latest episode of my favorite TV show?",search
"Where can I find affordable furniture for my apartment?",search
"What are the symptoms of a migraine headache?",search
"How do I clean a stainless steel sink?",search
"What are the benefits of practicing mindfulness meditation?",search
"What are the top 10 search engines and their market share?",search
"How does Google's search algorithm work?",search
"Can you analyze the effectiveness of different search engine marketing strategies?",search
"What are the most searched keywords in the past month?",search
"How do search engine rankings impact website traffic?",search
"Where can I find case studies on successful SEO campaigns?",search
"Can you analyze user behavior patterns in search engine results?",search
"What are the current trends in voice search technology?",search
"How do I interpret search analytics data to improve my website's performance?",search
"Where can I find data on search engine market trends?",search
"Can you analyze the impact of voice search on SEO?",search
"How do I perform keyword research for a new product launch?",search
"Where can I find search trends related to sustainable living?",search
"What are the best practices for optimizing content for search engines?",search
"Can you analyze the search intent behind specific keywords?",search
"How do I use Google Trends to identify trending topics?",search
"Where can I find studies on the relationship between search behavior and demographics?",search
"What are the top 10 search engines and their market share?",search
"How does Google's search algorithm work?",search
"What are the common search queries related to 'healthy recipes'?",search
"Can you provide key insights from the data?",analysis
"Are there tables in the data?",analysis
"How many tables are there in the data?",analysis
"Extract all tables from the data.",analysis
"Extract structured data from the given unstructured data.",analysis
"How does this data talk about ML research at MIT?",analysis
"Identify trends and patterns in the data.",analysis
"Analyze the data for anomalies or irregularities.",analysis
"Where can I find statistics on global internet usage?",search
"Can you analyze the effectiveness of different search engine marketing strategies?",search
"What are the most searched keywords in the past month?",search
"How do I perform keyword research for a new product launch?",search
"Where can I find search trends related to sustainable living?",search
"What are the best practices for optimizing content for search engines?",search
"Can you analyze the search intent behind specific keywords?",search
"How do I use Google Trends to identify trending topics?",search
"Where can I find studies on the relationship between search behavior and demographics?",search
"i want to know the parts of document where the word hello is mentioned",analysis
"Can you help me search for a context present in the provided document and find similar article on the internet?",search
"I want to analyze the image provided, help me extract information from it.",vision
"Which words appear more frequently in the document?",analysis
"provide me details about the following topic through the internet",search
"provide me details about the following topic from the data provided",analysis
