text,label
"result = 'graphed'",Code
"Line plot with specified x_vars:import seaborn as sns import matplotlib.pyplot as plt # Generate a line plot for column  with specified x_vars sns.lineplot(data=df x=df.index y=column  hue=column  ) plt.savefig(os.path.join('src' 'Database' 'charts' 'line_plot.png')) result = 'graphed'","Code"
"Scatter plot with specified x_vars and y_vars:import seaborn as sns import matplotlib.pyplot as plt # Show a scatter plot with specified x_vars and y_vars sns.scatterplot(data=df x=column  y=column   hue=column   ) plt.savefig(os.path.join('src' 'Database' 'charts' 'scatter_plot.png')) result = 'graphed'","Code"
"Scatter plot between two columns with specified x_vars and y_vars:import seaborn as sns import matplotlib.pyplot as plt # Create a scatter plot between column  and column   with specified x_vars and y_vars sns.scatterplot(data=df x=column  y=column   hue=column   ) plt.savefig(os.path.join('src' 'Database' 'charts' 'scatter_plot_column _column  .png')) result = 'graphed'","Code"
"Histogram for column  with specified x_vars:import seaborn as sns import matplotlib.pyplot as plt # Generate a histogram for column  with specified x_vars sns.histplot(data=df x=column  hue=column  ) plt.savefig(os.path.join('src' 'Database' 'charts' 'histogram_column .png')) result = 'graphed'","Code"
"Bar plot for column  with specified x_vars:import seaborn as sns import matplotlib.pyplot as plt # Show a bar plot for column  with specified x_vars sns.barplot(data=df x=df.index y=column  hue=column  ) plt.savefig(os.path.join('src' 'Database' 'charts' 'bar_plot_column .png')) result = 'graphed'","Code"
"Heatmap for the correlation matrix with specified x_vars and y_vars:import seaborn as sns import matplotlib.pyplot as plt # Generate a heatmap for the correlation matrix with specified x_vars and y_vars sns.heatmap(data=df.corr() annot=True cmap='coolwarm' xticklabels=df.columns yticklabels=df.columns) plt.savefig(os.path.join('src' 'Database' 'charts' 'heatmap.png')) result = 'graphed'","Code"
"Pair plot with specified x_vars and y_vars:import seaborn as sns import matplotlib.pyplot as plt # Generate a pair plot for the dataframe with specified x_vars and y_vars sns.pairplot(df x_vars=['column ' 'column  '] y_vars=['column   ' 'column   ']) plt.savefig(os.path.join('src' 'Database' 'charts' 'pair_plot.png')) result = 'graphed'","Code"
"Here are some famous sns plot formats","Sentence"
"important : sns.pairplot(data=df x_vars=Iterable[str] y_vars=Iterable[str] )","Sentence"
"we also have sns.histplot sns.distplot sns.barplot sns.heatmap and countplots. ","Sentence"
